Programa,URL,Texto Brochure
ALEMÁN,https://www.uag.mx/brochure/ALECT,Error: No /Root object! - Is this really a PDF?
CONVERSATION CLUB CUATRIMESTRAL,https://www.uag.mx/brochure/CCC22,"I D I O M AS
CCoonnvveerrssaacciióónn
eenn iinnggllééss
Cumple tus objetivos y practica tus habilidades de conversación en inglés
con reuniones de 2 horas a la semana con tu profesor y compañeros.
Características:
Hello, I Speak English!
Periodo: enero de 2025.
Inicio de clases: del 13 de enero al 11 de abril de 2025.
Objetivo del programa:
Brindar la práctica y confianza necesarias para comunicarse efectivamente en el
idioma, haciendo uso de las habilidades de escucha y habla en temas de interés y
relevancia actuales.
Modalidad: presencial.
Nivel Horario
Principiante Martes y jueves, de 18:00 a 19:00 horas.
¿Qué lograrás al tomar el taller de conversación?
• Opinar sobre temas actuales.
• Conocer e interesarte en problemáticas del mundo y contrastar opiniones
con compañeros.
• Explicar y justificar criterios sobre situaciones de la vida diaria.
Contenido
• Conversación nivel principiante.
• Conversación nivel avanzado.
Costo
Costo de contado: $2,959.00 MXN.
Inscripción:
Comunidad UAG:
Inicia tu inscripción en el sitio admision.uag.mx y asegúrate de ingresar tu ID UAG en tu
solicitud.
Primer ingreso:
Entra al sitio: admision.uag.mx y comienza tu solicitud de inscripción.
Más información:
Idiomas@edu.uag.mx
33 2601 0024, 33 3956 6206, 33 1437 9414 y 33 1558 7447."
ESPAÑOL 1 A 1,https://www.uag.mx/brochure/CCM18,"I D I O M A S
SSppaanniisshh CCoouurrsseess
Our Spanish courses provide students with a unique opportunity to practice
the language in the classroom while being immersed in the culture. Our
program is internationally recognized for our students’ mastery of Spanish
language as they develop linguistic skills that allow them to communicate
effectively in a personal, academic, and professional context.
We offer an intensive Spanish program which covers
the following:
• 10 levels
• 80 hours per level
• 4-week courses
• Classes given Monday to Friday from 9:00 to 13:00 hours
• Two professors in every level allowing students to be exposed to different
teaching strategies and giving them more opportunities for interaction
Culture classes:
If you want to complement Spanish with a little bit of culture, we have
40-hour culture classes in the following topics:
• Mexican Folklore
• Tourist Services in Mexico
• Mexican Film Industry
• Entrepreneurship in Mexico
• Mexican History
• Science and Technology in Mexico
• Mexican Literature
• Medical Services in Mexico
One-to-one courses:
• 10 Spanish and 8 culture classes
• 40 hours per level
• Schedules are fixed according to the students’ needs
Fees for Spanish Courses:
• Enrollment fee: $75.00 USD
• Spanish group lessons: $650.00 USD
• Spanish 1 to 1: $1,400.00 USD
Contact us:
Idiomas@edu.uag.mx
WhatsApp 33 2601 0024
o l
H
a
M
O
U D
N"
D. EN ADMINISTRACIÓN,https://www.uag.mx/brochure/DAD22,"POSGRADOS
Negocios
Doctorado en
Administración
Impulsa tu futuro, SÉ UAG.
Valor para
Genera conocimiento y realiza la
transformación del sector empresarial.
Trascender
Modalidad: Híbrida.
Plan cuatrimestral.
Duración: 9 cuatrimestres (3 años).
Materias por periodo: 3 materias.
Serás capaz de generar investigaciones innovadoras de gran impacto para la
sociedad, que contribuyan a la generación y aplicación del conocimiento en los sectores
económicos de las empresas, para la solución de problemáticas actuales, la satisfacción
de necesidades y la formación de equipos de investigación.
Esta doctorado es para ti si…
Eres egresado de maestrías en Administración, Dirección o Dirección Global de
Negocios, Ciencias Administrativas, Liderazgo Organizacional, Recursos Humanos,
Administración Pública, Ciencias Económicas, Mercadotecnia, Evaluación de
Proyectos, Finanzas, Procesos o Sistemas de Calidad, Comercio o Negocios
Internacionales, Administración Educativa, Psicología Administrativa y Ciencias en
Sistemas de Manufactura.
Serás capaz de:
Coordinar, dirigir y desarrollar trabajos de investigación científica innovadores en al
ámbito de la administración, con el fin de aportar nuevos conocimientos.
Participar en la formación de nuevos especialistas en el ámbito de la administración,
con la finalidad de ser un factor de desarrollo humano.
Proponer y gestionar planes de acción en los diferentes sectores económicos y las
empresas, con el fin de satisfacer necesidades y/o solucionar los problemas
identificados en ellos.
POSGRADOS
Negocios
Al egresar, estarás preparado para:
Desempeñarte como docente universitario de nivel posgrado, investigador
académico en el área de administración, como autor de artículos científicos en
publicaciones reconocidas, así como fungir como consultor de empresas en el área
de la administración.
Podrás ser miembro de la comunidad científica en el área de administración,
además de formar parte del Sistema Nacional de Investigación del Conacyt.
Admisiones Becas
posgrados@edu.uag.mx
33 3648 8463, ext. 35527.
Av. Universidad 700, Lomas del Valle, 45129 Zapopan, Jalisco, México.
Valor para
Trascender
ERTSEMIRTAUC
Valor
para Doctorado en
Trascender
Administración
ASIGNATURAS
Metodología de la Comportamiento
1.º
Área de formación básica fundamental
Investigación Organizacional
Área de formación disciplinaria
Métodos Estadísticos
2.º
Teoría de la Organización
Área de formación en investigación
Multivariantes Aplicados
Métodos Cualitativos de Tópicos Selectos de
3.º
Investigación Estrategia
Tópicos Selectos de Comunicación
4.º
Tópicos Selectos de Servicios
y Mercadotecnia
Características del programa:
Tópicos Selectos de
5.º
Tópicos Selectos de Finanzas Profesores con destacada experiencia en el
Emprendimiento
área y sólida formación académica y de
nivel doctorado.
6.º
Innovación Sostenible Disertación Doctoral I
Este doctorado hace énfasis en las
habilidades de investigación y análisis, así
como en la preparación para la redacción
7.º
Disertación Doctoral II de publicaciones científicas y didácticas.
Otorga una amplia visión de todas las áreas
de la administración.
8.º
Disertación Doctoral III
Los trabajos de investigación realizados son
publicados en congresos internacionales y
9.º
Disertación Doctoral IV mediante artículos científicos del área
económico-administrativa.
Plan de estudios sujeto a cambios sin previo aviso.
Ruta sugerida. En acuerdo con tu Director de Programa, podrá ser flexible y adaptarse a tus necesidades. RVOE: No. Acuerdo. 158."
D. EN CIENCIAS E INGENIERÍA,https://www.uag.mx/brochure/DCI22,"POSGRADOS
Industria 4.0
Doctorado en
Ciencias
e Ingeniería
Impulsa tu futuro, SÉ UAG.
Valor para
Perfecciona, a nivel técnico y académico, las competencias
para realizar desarrollos tecnológicos innovadores.
Trascender
Modalidad:
Híbrida.
Plan cuatrimestral.
Duración:
9 cuatrimestres.
Materias por periodo:
2 materias.
Serás capaz de realizar proyectos tecnológicos innovadores y trabajos de
investigación de gran impacto para la sociedad y el medio ambiente que contribuyan
a la solución de problemáticas actuales y la difusión del conocimiento.
Este doctorado es para ti si…
Eres egresado de maestrías relacionadas en las áreas de ciencias naturales, ciencias
químicas, ingeniería, física, matemáticas, estadística, tecnologías de la información
y la comunicación, agronomía, nutrición, manufactura y afines.
Tienes interés en desarrollar soluciones en distintas áreas de la ciencia e ingeniería.
Buscas desarrollar proyectos de investigación y generar conocimiento en el área.
Serás capaz de:
Coordinar, dirigir o realizar proyectos en el campo de transformación digital e
industrial, con la finalidad de solucionar problemas y aportar conocimientos.
Liderar proyectos tecnológicos en empresas de alimentos, bebidas,
biotecnología y química.
Desempeñarte como docente e investigador en instituciones de
enseñanza superior.
POSGRADOS
Industria 4.0
Al egresar, estarás preparado para:
Desarrollarte en empresas de diversos ámbitos que requieran generar proyectos
tecnológicos innovadores, así como desarrollar proyectos de investigación y en
labores de docencia en materia de ciencia e ingeniería.
Admisiones Becas
Doctorado en
Ciencias e Ingeniería
posgrados@edu.uag.mx
33 3648 8463, ext. 35527.
Av. Universidad 700, Lomas del Valle, 45129 Zapopan, Jalisco, México.
Valor para
Trascender
ERTSEMIRTAUC
Valor
para
Doctorado en
Trascender
Ciencias e Ingeniería
ASIGNATURAS
Fronteras y Paradigmas Estadística Descriptiva
1.º Formación básica
de la Ciencia e Inferencial
Investigación científica
Seminario de Protocolo Optativa de Formación
2.º
Optativas disciplinares
Disciplinar 1
Seminario de Optativa de Formación
3.º
Documentación Científica Disciplinar 2
Administración de Proyectos de Optativa de Formación
4.º
Investigación y Desarrollo Disciplinar 3
Seminario de Optativa de Formación
5.º
Investigación I Disciplinar 4
Características del programa:
Seminario de Optativa de Formación
6.º Programa innovador vinculado con
Investigación II Disciplinar 5 empresas productoras de bienes y
servicios.
Seminario de Optativa de Formación
7.º
Colaboración e intercambio con
Investigación III Disciplinar 6
universidades en Norteamérica, América
Latina, Europa y Asia.
Seminario de
8.º
Investigación IV Programa con 3 áreas terminales: Energía e
iluminación, Biotecnología y Alimentos y
Seminario de Transformación Digital e Industrial.
9.º
Investigación V
Plan de estudios sujeto a cambios sin previo aviso.
Ruta sugerida. En acuerdo con tu Director de Programa, podrá ser flexible y adaptarse a tus necesidades."
D. EN DIRECCIÓN EMPRESARIAL (DBA),https://www.uag.mx/brochure/DDE22,"Valor
para
Trascender
D o c t o r a d o e n
D I R E C C I Ó N
E M P R E S A R I A L
( D B A )
L l e v e s u e m p r e s a a n u e v a s a l t u r a s .
¿Por qué estudiar un doctorado?
El mundo crece a pasos agigantados y
experimenta grandes cambios económicos,
sociales y tecnológicos, lo que exige a los
líderes del sector empresarial mantenerse
actualizados para lograr cubrir, de manera
eficiente, las nuevas demandas de los
consumidores. Es imprescindible aprender
a formular estrategias que lleven a las
organizaciones a transformaciones exitosas.
Estudiar un posgrado de este nivel logra
ampliar la perspectiva de los profesionales y
les abre nuevas puertas en el ámbito
empresarial.
¿Por qué estudiar un DBA?
El Doctorate of Business Administration
cuenta con una metodología que permite
potenciar las habilidades básicas en
entornos directivos y se enfoca en el
conocimiento práctico, lo que permite
adquirir aptitudes y actitudes necesarias
en el mundo actual de los negocios que
hagan trascender a la organización.
¿Cuál es la diferencia entre PhD y DBA?
Enfoque principal
Un doctorado (PhD) está enfocado en la investigación para
crear conocimiento y teorías administrativas que son
relevantes para la práctica de los negocios. En cambio, un
DBA se enfoca en llevar la teoría administrativa a la práctica
empresarial.
Perfil de egreso
De un PhD egresan investigadores y profesionales
académicos; de un DBA, líderes empresariales, directivos,
coaches de negocios, entre otros.
Obtención de grado
Al concluir los estudios de un PhD, el egresado está
preparado para generar conocimiento y realizar aportes a la
sociedad. Al concluir un DBA, el profesional está capacitado
para intervenir de manera eficiente en la organización para
lograr una transformación empresarial
Tipo de materias
En un PhD se cursan materias relacionadas con metodología
de la investigación, teorías administrativas, estadística y
métodos numéricos, mientras que un DBA oferta materias
referentes a áreas funcionales de la administración,
herramientas de intervención y a la investigación- acción.
“El DBA es más atractivo si no estás en el área académica o
de gobierno porque es más práctico; menos investigado y
más aterrizado al mundo real.” (Luis Giraldo, Costa Rica).
¿Por qué estudiar este programa en la UAG?
Es el primer DBA en México. Cuenta con un enfoque profesionalizante y se
distingue por la generación de networking a nivel alto mando entre
empresarios. Además, este programa incluye materias de Thunderbird School
of Global Management y brinda acceso a estadías también en Thunderbird a
través de Arizona State University.
Este programa cuenta con un método de intervención; es decir, el entregable
final del programa es un proyecto de transformación de su empresa, el cual
se define desde el inicio, por lo que, durante el tiempo que dura el DBA, usted
obtiene consultorías personalizadas por parte de los profesores, que cuentan
también con amplia experiencia práctica, para apoyarlo en el camino hacia la
transformación de su organización.
El DBA cuenta con un enfoque mixto de enseñanza y asesoría, y le permite
involucrar a su equipo de trabajo de la empresa en cada uno de los proyectos.
Asimismo, el enfoque de las materias que se cursan está encaminado hacia:
Mentalidad disruptiva: Análisis, búsqueda e integración de nuevas formas de
estructurar las oportunidades.
Expansión del mindset: Técnicas de innovación y creatividad con enfoque de
negocios en diferentes escenarios.
Innovación sostenible: Desarrollo e implementación de soluciones
innovadoras, sostenibles y responsables que atienden a problemáticas
sociales, económicas y ambientales del entorno.
Innovación tecnológica: Estrategias para el desarrollo de productos y
procesos que requieren los negocios.
“Este doctorado,
más que ser para
el empresario,
es completamente
para la empresa”.
Este programa tiene un formato flexible pensando en la disponibilidad de su
tiempo. Durante el trayecto, podrá vivir una semana de inmersión por año en
la que todos los empresarios podrán interactuar y hacer networking.
Programa de estudios
El Doctorado en Dirección Empresarial tiene un formato cuatrimestral y se cursa
combinando la modalidad presencial y virtual. Cada cuatrimestre está integrado por dos
materias, y cada una se cursa por separado; es decir, siete semanas cada una.
Mapa curricular
ertsemirtauC
Entendimiento Integral Pensamiento Estratégico
1
de la Empresa Empresarial
2 Investigación Empresarial
Innovación Sostenible
Aplicada
Creación de Nuevos
3
Disrupción Digital
Mercados
Optimización de
4
Gestión del Talento
Cadena de Valor
Proyecto de
5 Planeación Financiera
Transformación I
Administración Ágil Gobierno Corporativo y
6
de Proyectos
Empresas Familiares
Consultoría y Proyecto de
7
Transformación Empresarial Transformación II
Pensamiento Sistémico e Innovación Consultoría
Estrategia Empresarial Transformación Empresarial
Descripción de materias Optimización de Cadena de Valor: Analice los elementos
y el proceso"
D. EN EDUCACIÓN,https://www.uag.mx/brochure/DED04,"POSGRADOS
Humanidades
Doctorado en
Educación
Impulsa tu futuro, SÉ UAG.
Valor para
Transforma tu visión y aporta
para una educación de valor.
Trascender
Modalidad:
Presencial.
Plan cuatrimestral.
Duración:
7 cuatrimestres (2 años, 4 meses).
Materias por periodo:
2 materias.
Serás capaz de diseñar e implementar planes y programas de estudio, así como de
desarrollar estrategias que generen soluciones a los desafíos actuales de la educación.
Este doctorado es para ti si…
Eres egresado de maestrías en el área de la educación, pedagogía y docencia.
Buscas desarrollar soluciones a los retos actuales de la educación.
Eres innovador y deseas implementar nuevas estrategias educativas.
Tienes interés en la investigación educativa.
Serás capaz de:
Diseñar planes y programas de estudio innovadores.
Supervisar, asesorar y gestionar planteles educativos de nivel básico, medio
superior y superior.
Desarrollar propuestas que generen soluciones a problemas actuales en el ámbito
educativo.
POSGRADOS
Humanidades
Al egresar, estarás preparado para:
Investigar y diseñar programas, así como planes de estudio, que permitan plantear
soluciones a problemas y desafíos actuales implementando estrategias
innovadoras en instituciones del sector educativo público y privado.
Admisiones Becas
Doctorado en
Educación
posgrados@edu.uag.mx
33 3648 8463, ext. 35527.
Av. Universidad 700, Lomas del Valle, 45129 Zapopan, Jalisco, México.
Valor para
Trascender
ERTSEMIRTAUC
Valor
para Doctorado en
Trascender
Educación
ASIGNATURAS
1.º
Teoría de la Educación Epistemología Educativa materias obligatorias
Área de formación
seminarios de investigación
Área de formación
Paradigmas de la Investigación
2.º Estadística I
materias optativas
Educativa Área de formación en
3.º Estadística II Métodos Cualitativos
Seminario
4.º Optativa I
de Investigación I
Seminario de
5.º Optativa II
Características del programa:
Investigación II
Las líneas de investigación del programa se
Seminario de
6.º Optativa III enfocan en la solución de problemática de
Investigación III la educación actual y en el desarrollo de
propuestas de innovación educativa.
Seminario de
7.º Optativa IV Profesores con destacada experiencia en el
Investigación IV
área y sólida formación académica.
Grupos que enriquecen las experiencias
8.º académicas.
Optativa V Optativa VI
Plan de estudios sujeto a cambios sin previo aviso.
RVOE: 933123
Ruta sugerida. En acuerdo con tu Director de Programa, podrá ser flexible y adaptarse a tus necesidades."
D. EN FILOSOFÍA,https://www.uag.mx/brochure/DFF22,"POSGRADOS
Humanidades
DDooccttoorraaddoo eenn
FFiilloossooffííaa
Impulsa tu futuro, SÉ UAG.
Valor para
Perfecciona tus conocimientos
en el valor del saber filosófico.
Trascender
Modalidad:
Híbrida.
Plan cuatrimestral.
Duración:
6 cuatrimestres (2 años).
Materias por periodo:
2 materias.
Serás capaz de realizar proyectos de investigación a partir del estudio de los distintos
planteamientos filosóficos desarrollados a lo largo de la historia.
Este doctorado es para ti si…
Tienes gusto e interés por difundir el conocimiento filosófico.
Tienes dominio de la metodología básica de la investigación filosófica.
Te interesa generar planteamientos teóricos a partir de la investigación.
Tienes facilidad para trabajar en grupos interdisciplinarios.
Serás capaz de:
Exponer los principios y fundamentos de las diversas doctrinas filosóficas para la
comprensión del desarrollo histórico de estas y sus implicaciones actuales.
Realizar, coordinar, dirigir y trabajos de investigación histórico-filosóficos con el fin
de aportar explicaciones nuevas acordes al pensamiento realista.
Elaborar documentos para la divulgación de los diversos planteamientos
filosóficos.
POSGRADOS
Humanidades
Al egresar, estarás preparado para:
Trabajar en la docencia e investigación filosófica, teniendo un amplio panorama de
los distintos planteamientos filosóficos que se han abordado a lo largo de la
historia y aportando explicaciones nuevas acordes al pensamiento realista.
Admisiones Becas
Doctorado en
Filosofía
posgrados@edu.uag.mx
33 3648 8463, ext. 35527.
Av. Universidad 700, Lomas del Valle, 45129 Zapopan, Jalisco, México.
Valor para
Trascender
ERTSEMIRTAUC
Valor
para Doctorado en
Trascender
Filosofía
ASIGNATURAS
grandes filósofos
Investigación
Área de formación
1.º
Filosofía Antigua
Filosófica I
seminarios
Área de formación
épocas filosóficas
Área de formación en
2.º Filosofía Patrística Filosofía Escolástica
3.º
Filosofía Renacentista Filosofía Moderna
Filosofía Características del programa:
4.º
Investigación Filosófica II
Contemporánea
Profesores con destacada experiencia en el
área y sólida formación académica.
El plan de estudios comprende el análisis
5.º
Realismo Posmedieval Filósofos Antiguos
de todas las épocas filosóficas,
contrastando los principales
planteamientos realizados en cada una de
ellas, acorde al pensamiento realista.
6.º
Filósofos Cristianos Filósofos Modernos
Oportunidades para la práctica de la
investigación filosófica desde el inicio del
programa.
Plan de estudios sujeto a cambios sin previo aviso.
RVOE:
Ruta sugerida. En acuerdo con tu Director de Programa, podrá ser flexible y adaptarse a tus necesidades. No. Acuerdo. 933123."
E. EN ALTA DIRECCIÓN,https://www.uag.mx/brochure/EAD18,"Negocios
Especialidad en
Alta Dirección
Impulsa tu futuro, SÉ UAG.
Brinda soluciones de alto impacto
a las organizaciones.
Modalidad: Presencial o Híbrida.
Plan cuatrimestral.
Duración: desde 2 cuatrimestres.
Materias por periodo: Hasta 4 materias.
Serás capaz de desempeñar eficientemente funciones directivas, utilizando un
razonamiento lógico cualitativo y cuantitativo con fundamentos para tomar decisiones
de alto impacto.
Esta especialidad es para ti si…
Eres egresado de cualquier licenciatura o ingeniería.
Tienes interés en desarrollar tus habilidades de liderazgo empresarial para la toma
de decisiones.
Buscas adquirir las herramientas que te permitan intervenir de manera eficiente
en las organizaciones.
Serás capaz de:
Utilizar técnicas y herramientas de vanguardia en el ámbito empresarial.
Contribuir en elevar los niveles de productividad y eficacia de las empresas
mediante el liderazgo, la creatividad e innovación y efectividad en la toma de
decisiones.
Analizar la situación de los organismos sociales para la optimización de sus
recursos.
Negocios
Al egresar, estarás preparado para:
Desempeñarte como directivo en mandos gerenciales y medios en organizaciones
de diferentes sectores que requieran la toma de decisiones directivas, así como en
la creación y desarrollo de empresas.
Admisiones
Especialidad en
posgrados@edu.uag.mx
Alta Dirección
33 2184 9816.
33 3648 8463, ext. 35527.
Av. Universidad 700, Lomas del Valle, 45129 Zapopan, Jalisco, México.
Especialidad en
Alta Dirección
Mapa curricular. | Ruta sugerida.
Materias obligatorias
Características del programa:
Desarrollo de habilidades de liderazgo
empresarial para la toma de decisiones
cuantitativas.
Las materias de especialidad corresponden
al 50% de la Maestría en Administración,
por lo que podrán ser revalidadas para
tomar dicho posgrado.
Profesores con destacada experiencia en el
área y sólida formación académica.
Esta especialidad sirve como método de
titulación para algunas licenciaturas de la
UAG.
Horario de clases que permite cumplir
con actividades laborales.
Plan de estudios sujeto a cambios sin previo aviso.
Ruta sugerida. En acuerdo con tu Director de Programa, podrá ser flexible y adaptarse a tus necesidades. RVOE: No. Acuerdo. 158
ERT
SEMIRTAUC
ASIGNATURAS
Administración Administración
1.º
Teoría
Liderazgo I de la de Sistemas
Administrativa
Mercadotecnia de Información
Simulador
Habilidades Economía
Liderazgo II Estratégico
Directivas Administrativa
2.º
de Negocio"
E. EN ADMINISTRACIÓN FINANCIERA DE PROYECTOS Y NEGOCIOS,https://www.uag.mx/brochure/EAF18,"Negocios
Especialidad en
Administración
Financiera de
Proyectos y Negocios
Impulsa tu futuro, SÉ UAG.
Dirige proyectos que aceleren el
crecimiento de las organizaciones.
Modalidad: Presencial o Híbrida.
Plan semestral.
Duración: 2 semestres.
Materias por periodo: 4 materias.
Serás capaz de formular, dirigir y evaluar proyectos de inversión,
con los conocimientos y el desarrollo de habilidades internacionales.
Esta especialidad es para ti si…
Eres egresado de carreras de administración, comercio, contaduría,
economía, mercadotecnia, actuaría e ingeniería industrial.
Buscas ser responsable de la ejecución de proyectos en las áreas de bienes
raíces, turísticas, comerciales, industriales y de servicios.
Tienes interés en desarrollar habilidades analíticas para el financiamiento
de empresas.
Eres emprendedor y buscas asegurar el éxito de tus iniciativas.
Serás capaz de:
Dirigir proyectos financieros para organizaciones públicas y privadas.
Identificar y resolver las problemáticas financieras de proyectos y negocios
de distintos ámbitos.
Desarrollar y evaluar proyectos de inversión y emprendimiento.
Negocios
Al egresar, estarás preparado para:
Desarrollarte como evaluador financiero de proyectos, director de
proyectos públicos y privados, así como de trabajar como acelerador
de empresas de emprendimiento.
Admisiones
Especialidad en
Administración
Financiera de
posgrados@edu.uag.mx
33 2184 9816.
Proyectos y Negocios
33 3648 8463, ext. 35527.
Av. Universidad 700, Lomas del Valle, 45129 Zapopan, Jalisco, México.
ERTSEMES
Especialidad en
Administración Financiera
de Proyectos y Negocios
Mapa curricular. | Ruta sugerida.
ASIGNATURAS
Materias obligatorias
Impacto del
Integrativa I
Economía para la Características del programa:
Análisis Contable Mercado en
1.º (Simulador
Planeación de
y Financiero Proyectos de Estratégico de Esta especialidad es válida como método
Proyectos
Negocios) de titulación para algunas licenciaturas de
Inversión
la UAG.
Las materias de esta especialidad
corresponden al 50% de la Maestría en
Administración.
Enfoque especial en el desarrollo de
Evaluación Gestión y
Integrativa II habilidades críticas para identificar la
Finanzas
2.º
Financiera de Planeación de problemática financiera de proyectos y
(Desarrollo de
Internacionales
negocios.
Proyectos Proyectos Negocios)
Profesores con destacada experiencia en el
área y sólida formación académica.
Plan de estudios sujeto a cambios sin previo aviso.
Ruta sugerida. En acuerdo con tu Director de Programa, podrá ser flexible y adaptarse a tus necesidades. RVOE: No. Acuerdo. 158."
